"X0.26","X0.76","X1.3","X1.8","X2.3","X3.2","X4","X4.5","X5","X5.5","X5.8","X5.9","X6.1","pf","pk"
"PBANKA_0407200","-0.02 (0.81)","-0.018 (0.71)","0.24 (7.2e-27)","-0.32 (7.1e-27)","-0.089 (7.8e-07)","0.022 (4.4e-05)","-0.009 (0.81)","-0.031 (0.00066)","0.08 (2e-05)","0.21 (0.05)","1.6 (0.8)","-0.046 (1)","-0.063 (0.7)","PF3D7_0309000","PKNH_0833700"
"PBANKA_0407600","-0.0024 (0.7)","0.051 (0.023)","-0.07 (0.1)","-0.013 (0.021)","-0.035 (3.7e-12)","0.0014 (0.0034)","-0.0072 (2.5e-05)","-0.0024 (0.02)","3.3e-05 (0.73)","4.5e-05 (0.26)","-0.0011 (0.8)","-4.1e-05 (0.6)","-0.012 (0.64)","PF3D7_0309500","PKNH_0833200"
"PBANKA_0407900","-0.038 (0.69)","0.003 (0.52)","0.048 (4.1e-14)","-0.0068 (0.091)","0.35 (5.7e-37)","-0.19 (1.4e-47)","0.69 (9e-18)","-0.46 (1.7e-15)","0.99 (1.7e-28)","-0.46 (1.2e-06)","-0.054 (0.99)","0.55 (0.75)","-0.013 (0.94)","PF3D7_0309800","PKNH_0832900"
"PBANKA_0409300","-0.0024 (0.7)","0.034 (0.41)","0.76 (7.6e-48)","-0.5 (1e-105)","0.024 (0.0062)","-0.022 (5.9e-09)","-0.0053 (0.15)","-0.0062 (0.00072)","0.0071 (3.8e-07)","-0.015 (0.046)","-0.0012 (0.8)","-0.00071 (0.6)","-0.0025 (0.63)","PF3D7_0311300","PKNH_0831100"
"PBANKA_0409700","-0.0065 (0.69)","1e-04 (0.84)","0.009 (0.00072)","0.00054 (0.86)","0.24 (8.4e-26)","-0.082 (0.0045)","-0.063 (0.018)","-0.00035 (0.9)","0.022 (0.27)","-0.0035 (0.63)","0.16 (0.8)","-0.00028 (1)","0.055 (0.63)","PF3D7_0311700","PKNH_0830700"
"PBANKA_0409800","0.0096 (0.0048)","-0.0032 (0.95)","0.35 (4e-54)","0.07 (9e-06)","-0.072 (0.046)","-0.21 (2.1e-41)","0.4 (1e-09)","-0.44 (1.6e-33)","-0.0086 (0.023)","3.3e-05 (0.12)","-0.00029 (0.8)","-0.00011 (0.6)","0.04 (0.7)","PF3D7_0311800","PKNH_0830600"
"PBANKA_0410600","1.2 (1.1e-09)","-1.4 (3.8e-15)","-0.21 (1.7e-26)","-0.00046 (0.26)","0 (1)","0.003 (6.3e-06)","-0.016 (0.16)","-0.003 (0.2)","-0.015 (1.1e-05)","0.0047 (0.065)","0.089 (0.8)","0.17 (0.6)","0.26 (0.36)","PF3D7_0312800","PKNH_0829400"
"PBANKA_0411300","-0.12 (0.42)","-0.0016 (0.82)","0.026 (5.7e-07)","0.18 (3.7e-103)","-0.038 (0.12)","-0.048 (1e-06)","0.35 (6.4e-11)","0.01 (0.92)","-0.41 (1.4e-05)","0.8 (6.6e-07)","-2.7 (0.8)","-1 (0.82)","-0.71 (0.002)","PF3D7_0313600","PKNH_0828600"
"PBANKA_0411500","-0.013 (5.1e-05)","0.027 (0.02)","0.32 (1.2e-64)","0.33 (7.2e-61)","0.26 (2.3e-08)","-0.39 (7.8e-61)","0.028 (0.026)","-0.022 (1.2e-05)","0.014 (5.9e-15)","0.0013 (0.088)","-0.021 (0.8)","-1.1e-05 (0.84)","-0.00076 (0.9)","PF3D7_0313800","PKNH_0828400"
"PBANKA_0411700","-0.00032 (0.98)","0.013 (0.91)","0.73 (2.8e-101)","-0.36 (7.5e-58)","-0.092 (0.0057)","-0.039 (2.3e-05)","0.59 (1.3e-24)","-0.26 (1.3e-05)","-0.98 (3.9e-18)","-0.033 (0.13)","0 (1)","-0.025 (0.71)","0.003 (0.63)","PF3D7_0314000","PKNH_0828200"
"PBANKA_0415200","-0.022 (0.69)","-0.00047 (0.98)","0.081 (1.4e-30)","0.0034 (0.67)","-0.052 (0.0038)","0.051 (5.9e-06)","0.23 (0.013)","-0.28 (1.1e-11)","0.2 (6.1e-06)","0.014 (0.52)","0.26 (0.83)","-0.0018 (1)","-0.0065 (0.86)","PF3D7_0906100","PKNH_0703900"
"PBANKA_0416000","0.018 (0.72)","-0.0068 (0.79)","0.03 (9.9e-06)","0.22 (6.5e-107)","0.17 (2.2e-06)","-0.086 (0.0022)","-0.35 (6.2e-08)","0.0091 (0.46)","-0.038 (4.7e-08)","0.12 (4.9e-14)","-0.82 (0.8)","0.0071 (1)","-0.15 (0.019)","PF3D7_0905400","PKNH_0703100"
"PBANKA_0416700","-0.002 (0.71)","-0.0018 (0.75)","0.0042 (0.0096)","0.071 (1.1e-49)","0.59 (3.6e-53)","-0.18 (1.5e-10)","-0.18 (1.9e-07)","-0.019 (0.012)","0.00088 (0.025)","0.013 (0.00027)","-0.05 (0.88)","-0.028 (0.86)","-0.0063 (0.81)","PF3D7_0904700","PKNH_0702400"
"PBANKA_0417500","0.97 (1.5e-05)","-1.3 (3.2e-09)","-0.25 (2.8e-21)","-0.00033 (0.13)","0 (1)","0 (1)","0.027 (1.1e-11)","-0.0085 (2.3e-11)","-1.7e-07 (0.93)","0.00038 (0.72)","-5.2e-05 (0.8)","-3e-05 (0.6)","0.17 (0.63)","PF3D7_0903900","PKNH_0701600"
"PBANKA_0417700","-0.028 (0.71)","-0.0015 (0.74)","0.026 (1.5e-15)","0.082 (8.1e-58)","0.077 (0.0014)","-0.033 (0.025)","0.35 (9e-09)","-0.63 (5.4e-27)","0.13 (0.007)","-0.028 (0.086)","0.0027 (0.8)","0.00052 (0.83)","0.0051 (0.63)","PF3D7_0903700","PKNH_0701400"
"PBANKA_0418200","-0.0044 (0.71)","0.016 (0.29)","0.36 (2.7e-83)","-0.14 (9.5e-21)","0.19 (4.4e-07)","-0.084 (4e-08)","0.15 (0.00082)","-0.099 (1.1e-12)","-0.013 (0.074)","-0.00061 (0.46)","0.08 (0.8)","4.3e-06 (0.83)","0.015 (0.72)","PF3D7_0903200","PKNH_0700900"
"PBANKA_0501700","-0.011 (0.72)","0.0011 (0.9)","0.001 (0.2)","-0.0037 (9.8e-07)","0.09 (2e-43)","-0.044 (8.4e-15)","-0.0061 (0.23)","0.0016 (0.78)","0.69 (1.4e-25)","-0.87 (2.7e-14)","0.65 (0.8)","0.16 (0.6)","-0.019 (0.48)","PF3D7_1017400","PKNH_0601600"
"PBANKA_0502700","0.63 (0.0013)","-1.3 (4.1e-13)","-0.16 (6.8e-10)","-0.0015 (0.033)","0 (1)","2.8e-05 (2.3e-06)","0.00051 (4e-17)","-1e-04 (0.0026)","0.00015 (3e-04)","0.0028 (0.16)","-0.002 (0.8)","0.015 (0.94)","0.052 (0.75)","PF3D7_1018500","PKNH_0602800"
"PBANKA_0504200","0.98 (1.1e-06)","-1 (2.1e-07)","-0.054 (9.8e-07)","-0.03 (2.6e-17)","0.026 (5.2e-13)","-0.023 (2e-31)","0.0035 (0.69)","0.22 (3.9e-23)","-0.28 (0.057)","-0.044 (0.27)","0.23 (0.8)","0 (1)","-0.033 (0.79)","PF3D7_1020000","PKNH_0604200"
"PBANKA_0504600","-0.018 (0.72)","0.017 (0.83)","0.74 (1.4e-60)","-0.15 (1.3e-06)","-0.12 (0.078)","-0.088 (3.3e-08)","0.17 (0.0028)","-0.16 (2.8e-13)","-0.00089 (0.53)","-0.0047 (0.77)","0.0012 (0.88)","0.0013 (0.59)","0.013 (0.63)","PF3D7_1020400","PKNH_0604600"
"PBANKA_0505900","0.48 (1.3e-06)","-0.31 (0.00054)","-0.12 (2e-12)","-0.084 (1.8e-64)","0.1 (3.1e-33)","-0.069 (2e-37)","-0.00057 (0.96)","0.22 (2.7e-23)","-0.45 (0.0013)","-0.05 (0.26)","0 (1)","0 (1)","-0.043 (0.79)","PF3D7_1021700","PKNH_0606000"
"PBANKA_0506300","1.5 (8.5e-10)","-1.7 (3.9e-21)","-0.057 (0.094)","-0.0011 (0.38)","0.00036 (0.43)","0.0022 (0.019)","-0.0067 (0.0052)","0.0012 (0.59)","0.13 (7.2e-11)","0.073 (0.031)","1.9 (0.8)","1 (0.6)","0.052 (0.88)","PF3D7_1022100","PKNH_0606400"
"PBANKA_0506600","0.011 (0.71)","-0.019 (0.49)","0.43 (3.3e-59)","-0.016 (0.54)","-0.029 (0.63)","-0.16 (1.4e-17)","0.72 (2.3e-12)","-0.4 (2.9e-25)","-0.011 (0.32)","-0.0029 (0.12)","0.4 (0.8)","8.4e-05 (1)","0.14 (0.65)","PF3D7_1022400","PKNH_0606700"
"PBANKA_0507500","0.092 (0.043)","-0.00015 (0.86)","0.095 (1.7e-14)","0.092 (3.7e-07)","0.33 (2.6e-07)","-0.17 (3.6e-11)","-0.07 (0.0011)","-0.00032 (0.96)","0.029 (0.11)","-0.0037 (0.99)","-0.31 (1)","-2.4 (0.58)","0.013 (0.96)","PF3D7_1023300","PKNH_0607800"
"PBANKA_0507600","-0.017 (0.7)","0.0036 (0.31)","0.14 (1.5e-20)","0.16 (6.5e-11)","-0.34 (1.9e-14)","0.019 (0.0071)","-0.017 (0.026)","0.012 (0.17)","0.0022 (0.88)","-0.045 (0.11)","0.68 (0.8)","-0.0053 (0.59)","-0.0012 (0.27)","PF3D7_1023400","PKNH_0607900"
"PBANKA_0507800","0.0025 (0.94)","-0.036 (0.0062)","0.013 (2.6e-05)","0.031 (1.6e-06)","0.51 (4.9e-33)","-0.34 (1.1e-37)","-0.00067 (0.98)","-0.00019 (0.83)","-0.00062 (0.00016)","0.002 (2.6e-11)","-0.0036 (0.8)","-0.0043 (0.6)","0.022 (0.85)","PF3D7_1023600","PKNH_0608100"
"PBANKA_0508800","0.062 (0.59)","0.044 (0.51)","0.27 (5.8e-19)","-0.18 (1.2e-16)","-0.1 (2e-06)","0.015 (0.002)","-0.053 (0.051)","0.0016 (0.6)","-0.00016 (0.97)","4.8e-05 (0.038)","0.00025 (0.8)","8.8e-05 (0.86)","0.017 (0.88)","PF3D7_1024600","PKNH_0609100"
"PBANKA_0509200","0.0095 (0.69)","0.74 (1.5e-08)","-0.2 (1.6e-06)","-0.26 (5.7e-129)","-0.015 (0.00023)","-0.00045 (0.58)","-9e-05 (1)","0.0011 (0.19)","0.0012 (0.65)","0.0015 (0.72)","-0.069 (0.87)","0.063 (0.6)","-0.065 (0.63)","PF3D7_1025000","PKNH_0609500"
"PBANKA_0509700","-0.067 (0.69)","-0.00027 (0.87)","-0.00072 (0.011)","0.00019 (0.0039)","0.014 (4.2e-08)","0.23 (2.5e-68)","-0.26 (5.3e-11)","-0.0082 (0.84)","0.11 (0.5)","-0.11 (0.066)","2.3 (0.8)","0.82 (0.6)","-0.047 (0.56)","PF3D7_1025500","PKNH_0610000"
"PBANKA_0510000","-0.0063 (0.72)","-3.7e-05 (0.75)","-0.001 (2.7e-77)","0.00068 (0.25)","0.00031 (0.99)","0.026 (2.5e-05)","-0.029 (0.56)","0.87 (2.7e-31)","-0.86 (1e-15)","3.6e-05 (0.22)","0.00043 (0.8)","0.00016 (0.6)","-0.0089 (0.72)","PF3D7_1025800","PKNH_0610300"
"PBANKA_0510200","-0.91 (0.0046)","-0.19 (0.15)","-0.12 (2.2e-30)","-0.0057 (3.3e-10)","0.0013 (0.37)","0.043 (1.7e-43)","-0.086 (6.2e-17)","-0.017 (0.0029)","-0.003 (0.53)","0.068 (0.18)","0.85 (0.8)","0.0061 (1)","0.99 (0.019)","PF3D7_1026000","PKNH_0610500"
"PBANKA_0510300","-0.32 (0.0016)","0.73 (0.00055)","-0.18 (1.5e-07)","0.072 (0.0029)","-0.36 (5e-38)","-0.006 (4.3e-05)","0.0012 (0.4)","-0.00029 (0.00059)","0.00093 (2.7e-12)","0.00013 (0.51)","0.0011 (0.95)","-8e-05 (1)","0.076 (0.63)","PF3D7_1026100","PKNH_0610600"
"PBANKA_0511400","-0.03 (0.72)","0 (1)","-0.00096 (0.26)","0.0014 (0.066)","0.008 (0.098)","0.061 (1.8e-24)","0.43 (4.4e-15)","0.41 (6.4e-10)","-1.5 (5.4e-23)","-0.00088 (0.28)","0 (1)","0 (1)","-0.05 (0.77)","PF3D7_1027300","PKNH_0611700"
"PBANKA_0511700","-0.0028 (0.72)","-0.00014 (0.00076)","0.00026 (1.8e-06)","-0.00014 (2.4e-10)","0.027 (5.1e-11)","0.057 (5.5e-09)","0.34 (4.8e-13)","0.065 (0.48)","0.27 (0.02)","-0.93 (4.9e-13)","0.0024 (0.9)","1.2 (0.6)","-0.011 (0.63)","PF3D7_1027600","PKNH_0612000"
"PBANKA_0512600","-0.097 (0.69)","0.0017 (0.31)","0.33 (6.4e-40)","0.095 (2e-05)","-0.32 (7.3e-17)","-0.073 (5.5e-05)","0.15 (0.085)","-0.094 (0.097)","0.65 (4.8e-07)","-0.28 (0.00063)","1.6 (0.8)","0.54 (0.6)","-0.28 (0.63)","PF3D7_1028500","PKNH_0612900"
"PBANKA_0515100","8.8e-05 (0.74)","0.037 (0.31)","0.44 (6.3e-73)","-0.098 (7.1e-05)","-0.19 (2.8e-08)","0.068 (8.3e-07)","-0.18 (6.1e-05)","0.026 (0.4)","0.2 (0.019)","-0.025 (0.13)","-0.0032 (0.8)","-0.002 (0.6)","0.00045 (0.63)","PF3D7_1031100","PKNH_0615800"
"PBANKA_0515500","-0.0053 (0.97)","-0.014 (0.25)","0.025 (4.3e-20)","0.01 (0.0012)","-0.021 (1.4e-05)","0.011 (0.071)","0.047 (0.13)","0.53 (3.1e-14)","-0.44 (1.4e-05)","-0.17 (9.7e-05)","0.49 (0.8)","-0.0041 (1)","-0.1 (0.78)","PF3D7_1031700","PKNH_0616400"
"PBANKA_0516200","-0.00022 (0.016)","-0.01 (0.91)","0.2 (3.2e-26)","0.75 (2.8e-169)","-0.27 (1.3e-07)","-0.39 (2e-58)","0.055 (0.00081)","-0.034 (3.7e-08)","0.00045 (0.48)","0.003 (0.098)","0.00014 (1)","0.00023 (0.93)","0.042 (0.63)","PF3D7_1032400","PKNH_0617200"
"PBANKA_0517700","-0.021 (0.72)","-3e-04 (0.71)","0.1 (1.3e-30)","-0.032 (3.9e-09)","0.14 (4.2e-17)","-0.11 (7.3e-26)","0.17 (2.1e-07)","0.36 (2.5e-06)","-0.57 (1.3e-16)","7e-04 (2.9e-09)","-0.0034 (0.8)","0.0045 (0.59)","-0.061 (0.63)","PF3D7_1033900","PKNH_0619100"
"PBANKA_0518600","0.0018 (0.065)","-0.0051 (0.82)","0.2 (2.2e-19)","-0.1 (2.3e-06)","0.015 (0.68)","-0.031 (0.00014)","-0.0016 (0.0017)","-0.00062 (0.01)","0.00037 (0.2)","2.9e-05 (0.94)","-0.013 (0.8)","0.012 (0.68)","-6e-04 (0.91)","PF3D7_1034800","PKNH_0620000"
"PBANKA_0519700","0.00052 (0.21)","0.0027 (0.7)","0.72 (1.1e-77)","-0.56 (3.2e-118)","-0.063 (4e-07)","0.00087 (0.0042)","0.0022 (0.79)","-9.1e-05 (0.93)","0.00022 (0.82)","0.029 (0.23)","-0.79 (0.87)","-0.0019 (0.86)","-0.069 (0.63)","PF3D7_1036700","PKNH_0621200"
"PBANKA_0519800","0.0089 (0.021)","0.0072 (0.91)","0.67 (9.5e-62)","-0.006 (0.84)","-0.21 (1.4e-06)","-0.29 (1.1e-47)","0.39 (2.1e-09)","-0.45 (9.6e-24)","-0.0064 (0.36)","0.00024 (6.3e-12)","-0.00036 (0.8)","-0.00023 (0.6)","0.071 (0.7)","PF3D7_1036800","PKNH_0621300"
"PBANKA_0520500","-0.05 (0.7)","0.019 (0.46)","0.87 (4.2e-78)","-0.58 (3.6e-108)","-0.19 (6.9e-19)","0.03 (0.071)","-0.11 (1e-05)","0.0087 (0.095)","0.032 (0.11)","-0.04 (0.13)","0.3 (0.8)","0.00024 (0.64)","0.0034 (0.83)","PF3D7_1037600","PKNH_0622100"
"PBANKA_0520600","-0.0098 (0.53)","0.22 (6.7e-10)","-0.38 (1.5e-17)","-0.034 (2.6e-09)","-0.014 (3.7e-05)","-0.00077 (0.0014)","-0.00027 (0.29)","0.0028 (0.019)","-0.0025 (0.0036)","-0.00017 (1.5e-05)","-0.00012 (0.99)","0.009 (1)","0.042 (0.63)","PF3D7_1037700","PKNH_0622200"
"PBANKA_0520700","-0.17 (0.55)","-0.22 (0.52)","-0.076 (0.00016)","0.17 (6.5e-38)","-0.031 (0.23)","-0.066 (3e-14)","-0.035 (0.00011)","0.011 (0.2)","-0.051 (4e-04)","-0.011 (0.21)","-0.0024 (0.8)","0.00011 (1)","0.34 (0.24)","PF3D7_1037800","PKNH_0622300"
"PBANKA_0520800","0.013 (0.58)","0.39 (1.5e-08)","0.23 (7.8e-05)","-0.15 (5.4e-45)","0.0036 (0.096)","0.079 (1.9e-33)","-0.084 (0.11)","-0.38 (2.2e-22)","-0.033 (0.1)","2.9e-05 (0.093)","-0.00049 (0.8)","-3e-04 (0.6)","-0.0083 (0.87)","PF3D7_1037900","PKNH_0622400"
"PBANKA_0521200","0.00097 (0.1)","0.00011 (0.82)","0.038 (4.8e-05)","0.096 (7.6e-16)","0.053 (0.12)","-0.074 (3e-36)","-0.015 (0.33)","0.0017 (1.3e-23)","-0.01 (0.24)","-0.001 (0.013)","0.00038 (1)","-0.0078 (0.52)","-0.0015 (0.2)","PF3D7_1038300","PKNH_0622800"
"PBANKA_0521900","-0.031 (0.53)","0.013 (0.33)","0.035 (6.8e-12)","-0.041 (4.2e-15)","0.1 (1.1e-09)","0.091 (8.4e-07)","-0.34 (0.00011)","0.42 (2.7e-13)","-0.18 (5.9e-07)","-0.04 (0.3)","-0.0014 (0.8)","-0.0024 (0.61)","-0.07 (0.7)","PF3D7_0420500","PKNH_0513300"
"PBANKA_0522100","0.00074 (0.69)","-0.046 (0.61)","0.054 (4.3e-08)","-0.068 (2.3e-07)","0.11 (1.4e-08)","-0.038 (0.16)","-0.19 (0.00027)","-0.0077 (0.22)","0.0067 (0.63)","0.017 (0.74)","-0.012 (0.8)","0.0032 (0.71)","0.045 (0.63)","PF3D7_0421700","PKNH_0513500"
"PBANKA_0523600","0.00066 (1e-05)","0.06 (0.5)","0.84 (1.3e-94)","0.028 (0.32)","-0.57 (3.9e-23)","-0.072 (1.2e-13)","0.37 (2.1e-20)","-0.13 (4.3e-15)","-0.00021 (0.045)","-0.0032 (0.31)","0.001 (0.85)","-0.00042 (0.76)","-0.00096 (0.002)","PF3D7_0423200","PKNH_0515100"
"PBANKA_0523900","-0.031 (0.72)","-0.0016 (0.31)","0.00059 (3.1e-07)","0.00046 (0.2)","0.016 (0.0017)","0.024 (1.5e-06)","0.15 (0.0038)","0.45 (1.8e-12)","-1.4 (1.9e-16)","-0.007 (0.28)","0.25 (0.8)","0 (1)","-0.13 (0.63)","PF3D7_0423500","PKNH_0515400"
"PBANKA_0600900","-0.017 (0.72)","-0.0044 (0.84)","0.032 (9.9e-11)","0.41 (1.7e-224)","0.43 (5.8e-30)","-0.11 (5.1e-05)","-0.37 (2.2e-11)","0.0012 (0.93)","0.06 (0.036)","0.00035 (1)","0.24 (0.8)","0.072 (0.93)","0.0091 (0.85)","PF3D7_1201900","PKNH_1301800"
"PBANKA_0601700","1.1 (5.9e-07)","-1.5 (2e-15)","-0.24 (9.2e-07)","0.0012 (0.22)","0.011 (2.6e-07)","-0.0065 (4.9e-05)","-0.0037 (0.18)","0.008 (0.37)","-0.11 (0.0023)","0.34 (3.3e-07)","-0.92 (0.82)","0.21 (0.91)","-0.12 (0.74)","PF3D7_1202700","PKNH_1302600"
"PBANKA_0602200","-0.0022 (0.69)","-0.008 (0.83)","0.18 (6.4e-18)","0.47 (2.6e-61)","-0.44 (5e-17)","-0.12 (8.4e-20)","0.00044 (0.18)","-0.0043 (0.24)","-0.0018 (3.6e-16)","0.019 (0.1)","1.3 (0.83)","-0.18 (0.96)","-0.00014 (1)","PF3D7_1203200","PKNH_1303100"
"PBANKA_0603300","-0.013 (0.7)","0.0018 (2.8e-05)","0.00081 (0.48)","-0.0029 (5.9e-07)","0.0095 (1e-13)","0.0087 (0.11)","0.22 (3.8e-16)","0.3 (6.9e-06)","-1.3 (7.6e-09)","-0.001 (2.7e-07)","0.0043 (0.8)","0.00098 (0.6)","-0.0079 (0.63)","PF3D7_1204400","PKNH_1304100"
"PBANKA_0603600","-0.022 (0.68)","0.053 (0.32)","0.5 (2.9e-65)","-0.46 (5.1e-54)","-0.16 (4.1e-10)","-0.0049 (0.091)","0.014 (0.014)","-0.0032 (0.00054)","0.31 (4.2e-08)","-0.76 (6.9e-06)","0.069 (1)","-0.57 (0.88)","-0.045 (0.79)","PF3D7_1204700","PKNH_1304400"
"PBANKA_0604300","-0.34 (7.2e-06)","-0.0021 (0.8)","0.12 (6.2e-14)","0.19 (2e-17)","0.1 (0.13)","0.092 (1.1e-08)","-0.087 (0.29)","-0.17 (4.4e-20)","-0.0015 (0.68)","0.12 (0.00063)","-0.16 (1)","0.17 (0.6)","0.51 (0.088)","PF3D7_1205600","PKNH_1305300"
"PBANKA_0604800","0.44 (3.7e-07)","0.57 (3.3e-06)","-1.1 (5.9e-151)","-0.00076 (0.6)","0 (1)","0.0074 (1.2e-17)","-0.014 (0.00016)","-0.0075 (3.5e-15)","8.9e-07 (0.92)","0.00032 (0.8)","-2.8e-05 (0.99)","-1.2e-05 (1)","0.086 (0.65)","PF3D7_1206200","PKNH_1305900"
"PBANKA_0605600","-0.024 (0.69)","0.012 (0.29)","0.13 (8.2e-47)","-0.11 (2e-90)","0.05 (2.3e-07)","0.025 (0.13)","0.22 (7e-05)","0.14 (0.073)","-0.16 (0.00046)","-0.003 (0.095)","0.2 (0.8)","0.002 (0.58)","-0.011 (0.63)","PF3D7_1207000","PKNH_1307000"
"PBANKA_0605800","-0.042 (0.6)","0.064 (0.52)","0.55 (1.6e-42)","-0.21 (1.2e-28)","-0.37 (2.9e-23)","-0.079 (6.8e-24)","-0.002 (0.67)","-0.0052 (0.75)","-0.0072 (0.42)","0.18 (7e-05)","1.2 (0.89)","-1.2 (0.6)","-0.15 (0.63)","PF3D7_1207300","PKNH_1307200"
"PBANKA_0606000","-0.052 (0.42)","0.014 (0.7)","0.28 (4.5e-34)","-0.013 (0.69)","0.22 (5.1e-07)","-0.13 (7.2e-08)","-0.3 (3.7e-09)","-0.011 (0.16)","-0.0022 (0.38)","0.18 (5.5e-08)","-0.71 (0.8)","0.49 (0.61)","-0.26 (0.14)","PF3D7_1207500","PKNH_1307400"
"PBANKA_0606200","-0.18 (0.00093)","-0.0082 (0.9)","0.51 (6.7e-67)","-0.15 (6.9e-11)","-0.37 (3.4e-33)","0.18 (3.4e-22)","-0.17 (2.4e-07)","-0.017 (0.089)","0.0044 (0.75)","0.00066 (0.07)","0.0038 (0.95)","0.003 (0.88)","0.26 (0.63)","PF3D7_1207700","PKNH_1307600"
"PBANKA_0607500","0.00011 (0.6)","0.0077 (0.55)","0.59 (2.9e-56)","-0.34 (2.2e-46)","0.3 (1.9e-14)","-0.14 (7e-41)","-0.022 (8.2e-07)","-6e-05 (0.28)","0.00088 (2.5e-14)","6.2e-06 (0.91)","-0.0022 (0.8)","-0.00041 (0.95)","9.2e-05 (0.85)","PF3D7_1209000","PKNH_1308900"
"PBANKA_0607600","-0.01 (0.7)","0.054 (0.61)","1.3 (5.8e-121)","-0.44 (1.4e-56)","-0.46 (2e-16)","0.013 (0.51)","-0.11 (0.0044)","0.023 (0.46)","0.013 (0.56)","-0.035 (0.01)","0 (1)","0.033 (0.6)","-0.009 (0.79)","PF3D7_1209200","PKNH_1309100"
"PBANKA_0608100","-0.032 (0.59)","-0.019 (0.75)","0.12 (1.3e-20)","0.27 (1.5e-128)","-0.23 (4.6e-26)","-0.02 (0.14)","-0.037 (0.23)","0.23 (6.2e-14)","0.81 (2.6e-09)","-0.72 (5.7e-09)","0.61 (0.87)","0.36 (0.82)","-0.018 (0.77)","PF3D7_1209700","PKNH_1309600"
"PBANKA_0608400","0.86 (1e-06)","-0.5 (0.028)","-0.12 (0.023)","-0.59 (5e-146)","0.045 (0.015)","-0.044 (1.4e-12)","-0.023 (0.04)","0.00012 (0.99)","0.013 (0.0034)","-0.0055 (0.18)","0.35 (0.8)","0.024 (0.6)","0.037 (0.87)","PF3D7_1210000","PKNH_1310000"
"PBANKA_0609900","0.1 (6.2e-06)","0.25 (0.0062)","-0.5 (6.7e-30)","-0.033 (6.8e-09)","7.2e-05 (1)","0.0025 (0.017)","0.064 (3.3e-09)","-0.023 (0.0027)","-0.074 (5.1e-17)","-0.00055 (0.46)","0.13 (0.8)","0.05 (0.6)","0.016 (0.92)","PF3D7_1211400","PKNH_1311500"
"PBANKA_0610900","0.21 (0.076)","-0.28 (0.014)","-0.11 (6.9e-05)","-6e-04 (0.057)","0.031 (1.9e-17)","-0.02 (5.2e-18)","-0.0028 (0.061)","0.074 (5.8e-12)","1.5 (2.1e-32)","-0.22 (0.092)","-1.1 (0.87)","-0.12 (1)","-0.22 (0.5)","PF3D7_1437900","PKNH_0424600"
"PBANKA_0611500","-0.25 (6.3e-05)","-0.0047 (0.71)","-0.0034 (0.027)","7.1e-05 (0.092)","7e-04 (0.039)","0.0045 (4.9e-06)","0.18 (3e-11)","0.45 (8.4e-11)","-0.52 (3.8e-07)","0.06 (0.00033)","-0.25 (0.87)","0.75 (0.6)","0.19 (0.5)","PF3D7_1437300","PKNH_0424000"
"PBANKA_0613200","0.027 (0.24)","-0.0094 (0.31)","0.0038 (0.034)","0.0086 (0.0085)","0.22 (6.4e-17)","0.045 (0.15)","-0.49 (1.2e-09)","0.097 (1.8e-14)","-0.077 (2.8e-06)","0.007 (0.0047)","-0.059 (0.8)","0.052 (0.6)","-0.0063 (0.85)","PF3D7_0411900","PKNH_0310100"
"PBANKA_0614300","-0.0014 (0.89)","-0.015 (0.57)","-0.0058 (0.074)","-0.0022 (0.05)","-0.00019 (0.26)","0.011 (0.00091)","0.26 (4e-10)","-0.2 (0.026)","-0.12 (0.014)","-0.011 (0.21)","0.43 (0.8)","0.12 (0.6)","-0.058 (0.72)","PF3D7_0716600","PKNH_0311200"
"PBANKA_0614900","-0.035 (0.4)","-0.0051 (0.5)","0.0051 (0.076)","0.088 (5.2e-51)","0.66 (6.7e-52)","-0.29 (4.3e-23)","-0.11 (1.3e-05)","-0.012 (0.03)","0.0056 (0.042)","0.032 (0.24)","-0.3 (0.83)","-0.013 (1)","0.044 (0.65)","PF3D7_0717200","PKNH_0312200"
"PBANKA_0615000","0.25 (0.00038)","0.4 (4e-04)","-0.72 (1.2e-72)","0.0066 (0.065)","0.061 (2.9e-10)","-0.007 (0.64)","-0.048 (0.0011)","-0.0047 (0.057)","-0.0014 (0.044)","0.03 (1.3e-05)","-0.018 (1)","-0.011 (1)","0.047 (0.75)","PF3D7_0717300","PKNH_0312300"
"PBANKA_0615600","-0.0011 (2.5e-05)","0.049 (0.31)","0.49 (2.7e-67)","-0.48 (2.7e-83)","0.028 (0.066)","-0.027 (2.5e-10)","-0.0036 (0.53)","-3.9e-05 (0.98)","0.008 (0.079)","-0.0099 (0.11)","-0.0021 (0.8)","0.00041 (0.6)","0.012 (0.68)","PF3D7_0717900","PKNH_0312900"
"PBANKA_0615700","-0.00058 (0.82)","0.027 (0.74)","0.78 (7.5e-88)","-0.35 (1.7e-60)","0.013 (0.8)","-0.12 (1.7e-26)","0.086 (1.5e-10)","-0.052 (1.4e-16)","-0.0012 (0.25)","-8.4e-05 (0.1)","0 (1)","0.085 (0.6)","-0.0091 (0.91)","PF3D7_0718000","PKNH_0313000"
