"X0.26","X0.76","X1.3","X1.8","X2.3","X3.2","X4","X4.5","X5","X5.5","X5.8","X5.9","X6.1","pf","pb"
"PKNH_0835500","0.0051 (0.00043)","0.089 (0.021)","0.32 (1.3e-09)","-0.23 (1.3e-17)","0 (1)","-1.8e-05 (0.55)","0.00097 (0.23)","9e-04 (0.071)","-0.0035 (0.058)","0.0077 (1.5e-05)","-0.037 (0.92)","0.016 (0.68)","-0.009 (0.00019)","PF3D7_0307200","PBANKA_0405500"
"PKNH_0833700","1.9e-06 (0.32)","-1.6e-05 (0.67)","0.27 (9e-12)","-0.31 (4.1e-30)","0.0032 (0.92)","-0.012 (0.00038)","0.06 (7.9e-05)","-0.11 (2.1e-44)","-0.013 (9.4e-17)","-2.7e-06 (0.74)","-1.8e-05 (0.99)","-2e-04 (0.018)","-4.4e-06 (0.00015)","PF3D7_0309000","PBANKA_0407200"
"PKNH_0833200","-0.00023 (9.8e-13)","0.039 (0.15)","0.13 (0.012)","-0.16 (7.2e-07)","-0.031 (7.5e-05)","0.00079 (0.41)","0.0027 (0.55)","-0.0061 (1.3e-05)","-0.00027 (0.84)","7e-05 (0.052)","0.00017 (1)","0.00017 (0.94)","7.7e-05 (0.28)","PF3D7_0309500","PBANKA_0407600"
"PKNH_0832900","0.00013 (0.017)","0.00017 (0.0062)","0.23 (2.9e-08)","-0.23 (2.3e-17)","-0.037 (1.3e-06)","-0.005 (0.0028)","0.039 (0.00046)","-0.013 (0.01)","0.17 (6.7e-12)","-0.16 (3.7e-05)","0.023 (1)","0.52 (0.41)","-0.029 (0.16)","PF3D7_0309800","PBANKA_0407900"
"PKNH_0831100","-2.4e-05 (0.77)","0.00055 (0.69)","0.0093 (0.00018)","0.14 (1.5e-28)","0.044 (0.13)","-0.086 (3e-31)","0.13 (2.6e-06)","-0.065 (0.28)","-0.061 (8.9e-05)","-0.001 (0.31)","-0.00042 (0.99)","0.00069 (0.65)","-0.00024 (0.013)","PF3D7_0311300","PBANKA_0409300"
"PKNH_0830700","-0.0015 (1.5e-15)","0.0017 (0.95)","0.013 (0.16)","0.029 (0.011)","0.15 (1.1e-05)","-0.058 (0.00019)","-0.037 (0.46)","-0.047 (1.5e-05)","0.013 (0.27)","-0.00094 (9.1e-07)","0.00097 (1)","-0.0029 (0.32)","0.00089 (0.013)","PF3D7_0311700","PBANKA_0409700"
"PKNH_0830600","-0.0015 (0.066)","4e-05 (1)","0.11 (1.2e-05)","-0.17 (8.1e-05)","-0.027 (0.0048)","-0.00087 (0.51)","0.0011 (0.99)","-0.007 (1.1e-05)","0.00031 (1.1e-25)","0.003 (0.0033)","-0.00079 (1)","-0.11 (0.02)","-0.00026 (0.96)","PF3D7_0311800","PBANKA_0409800"
"PKNH_0829400","0.071 (8.7e-13)","0.4 (1.5e-05)","-0.21 (0.0057)","-0.17 (2.6e-14)","-4.6e-05 (1)","-0.0011 (0.14)","0.0012 (0.2)","0.00021 (0.88)","0.00026 (0.95)","-0.001 (0.49)","-0.0045 (0.98)","-4e-04 (1)","0.0042 (0.42)","PF3D7_0312800","PBANKA_0410600"
"PKNH_0828600","-0.0021 (3.7e-14)","-0.00018 (0.34)","0.081 (2.4e-06)","-0.1 (0.00073)","-0.018 (0.36)","0.14 (1.2e-29)","-0.11 (0.36)","-0.17 (8.1e-33)","-0.003 (0.12)","8e-04 (6.8e-12)","-0.27 (0.88)","-0.26 (0.018)","0.00075 (0.039)","PF3D7_0313600","PBANKA_0411300"
"PKNH_0828400","1.4e-05 (3.5e-08)","-0.00027 (1)","0.098 (4e-05)","-0.12 (0.0035)","-0.0056 (0.98)","-0.02 (0.042)","0.0094 (0.91)","-0.089 (1.3e-11)","0.13 (1e-05)","-0.14 (5.7e-08)","0.16 (0.88)","-0.021 (0.94)","-0.0044 (0.38)","PF3D7_0313800","PBANKA_0411500"
"PKNH_0828200","-0.0031 (0.21)","0.00077 (2.9e-05)","0.072 (4.1e-05)","0.45 (1.2e-15)","-0.6 (2.3e-28)","-0.013 (0.00016)","-0.0026 (0.64)","0.11 (7.7e-29)","0.078 (0.26)","0.031 (0.13)","-0.92 (0.88)","0.015 (0.83)","-0.091 (0.1)","PF3D7_0314000","PBANKA_0411700"
"PKNH_0703900","0.00085 (4.5e-08)","0.00028 (1)","0.0055 (0.31)","0.33 (1.3e-39)","0.075 (0.14)","-0.16 (5e-29)","0.12 (0.087)","-0.06 (0.31)","-0.1 (2.4e-06)","-0.0014 (0.32)","0.00016 (1)","0.0024 (0.42)","-0.00071 (0.033)","PF3D7_0906100","PBANKA_0415200"
"PKNH_0703100","-0.0016 (0.0031)","5e-05 (1)","0.00012 (0.5)","0.0041 (2.6e-06)","0.19 (1.7e-27)","0.19 (2.7e-41)","0.25 (0.0086)","-1.1 (2.2e-128)","0.0085 (0.45)","0.0037 (0.13)","-0.024 (0.98)","-0.038 (0.51)","-0.0048 (0.0049)","PF3D7_0905400","PBANKA_0416000"
"PKNH_0702400","9.1e-06 (0.33)","7.4e-05 (0.18)","0.033 (1.9e-05)","0.034 (0.0038)","0.36 (1.9e-11)","-0.13 (3.6e-07)","-0.15 (0.017)","0.00037 (2.8e-67)","1e-04 (6e-04)","-8.7e-06 (0.44)","0.00025 (0.79)","-0.00011 (0.3)","7.9e-06 (0.5)","PF3D7_0904700","PBANKA_0416700"
"PKNH_0701600","0.54 (2e-19)","0.22 (0.033)","-0.74 (2.4e-23)","-0.049 (1.2e-06)","-7.5e-05 (1)","-0.0021 (0.14)","0.00011 (0.21)","0.0017 (0.51)","-0.002 (0.86)","-0.0013 (5.7e-05)","0.00025 (0.92)","-0.0096 (0.65)","0.041 (0.28)","PF3D7_0903900","PBANKA_0417500"
"PKNH_0701400","-0.0064 (1.7e-05)","0.00044 (0.99)","0.091 (4e-07)","0.11 (0.048)","-0.27 (9e-08)","0.055 (0.0044)","-0.052 (0.68)","-0.18 (1.5e-12)","-0.024 (0.099)","0.042 (2.7e-10)","0.24 (0.88)","-0.51 (0.033)","-0.038 (0.01)","PF3D7_0903700","PBANKA_0417700"
"PKNH_0700900","-6.2e-05 (0.16)","-1.2e-05 (0.98)","0.012 (0.51)","0.26 (7.1e-27)","-0.14 (0.0029)","-0.066 (7.7e-12)","0.014 (0.64)","-0.012 (0.07)","0.00045 (0.0056)","0.00047 (0.0021)","-0.00037 (1)","0.00047 (0.96)","-0.0011 (0.0011)","PF3D7_0903200","PBANKA_0418200"
"PKNH_0601600","2.8e-05 (0.17)","0.00025 (0.00013)","0.006 (0.014)","0.3 (2.7e-49)","-0.051 (0.25)","-0.12 (5.5e-30)","-0.039 (0.024)","0.00083 (0.65)","0.25 (1.4e-11)","-0.034 (0.86)","-0.76 (1)","1.9 (0.43)","-0.6 (0.00063)","PF3D7_1017400","PBANKA_0501700"
"PKNH_0602800","-0.17 (3.1e-07)","-0.0064 (0.35)","0.062 (0.03)","-0.044 (0.0067)","0.023 (0.00062)","-0.0046 (0.15)","-0.026 (0.005)","-0.0022 (0.25)","-0.00013 (0.91)","0.047 (0.00062)","-0.0033 (1)","0.1 (0.94)","0.17 (0.029)","PF3D7_1018500","PBANKA_0502700"
"PKNH_0604200","4.2e-05 (0.56)","0.13 (0.047)","0.42 (2e-11)","-0.47 (4e-37)","0 (1)","2.1e-05 (1.9e-43)","1.2e-05 (0.15)","0.056 (3.4e-73)","-0.054 (0.0028)","5.3e-06 (0.028)","-5e-05 (0.98)","1.9e-05 (0.96)","2.1e-05 (0.076)","PF3D7_1020000","PBANKA_0504200"
"PKNH_0604600","-0.084 (0.063)","-0.1 (0.0093)","0.18 (2.8e-09)","-0.24 (3.1e-07)","-0.058 (2.1e-05)","-0.003 (0.024)","0.014 (0.18)","-0.0091 (1.1e-06)","0.04 (2.4e-18)","0.14 (4.1e-12)","-0.73 (0.88)","-0.27 (0.66)","0.027 (0.71)","PF3D7_1020400","PBANKA_0504600"
"PKNH_0606000","0.00014 (0.0064)","-0.00017 (0.055)","0.0019 (0.017)","-0.00086 (0.0041)","0 (1)","8.6e-06 (0.1)","0.00024 (0.1)","0.92 (1.1e-131)","-1.2 (1.7e-43)","-1.4e-05 (0.88)","0 (1)","0.004 (0.28)","0.00018 (0.033)","PF3D7_1021700","PBANKA_0505900"
"PKNH_0606400","3.7e-05 (3.9e-07)","0.24 (0.014)","0.2 (0.002)","-0.27 (7.7e-27)","0 (1)","2.2e-07 (0.31)","0.00022 (0.51)","0.28 (1.4e-113)","-0.3 (8.9e-42)","0.00015 (0.61)","-0.00027 (1)","0 (1)","6.8e-08 (1)","PF3D7_1022100","PBANKA_0506300"
"PKNH_0606700","5.7e-05 (4.9e-05)","0.034 (0.023)","0.2 (2.4e-06)","-0.22 (1.6e-13)","0.088 (3.7e-05)","-0.028 (0.0025)","-0.021 (0.77)","0.02 (0.21)","-0.13 (1.8e-14)","9.2e-05 (0.024)","0.00082 (0.88)","0.001 (0.018)","9.1e-05 (0.16)","PF3D7_1022400","PBANKA_0506600"
"PKNH_0607800","8.8e-05 (0.19)","-2.5e-05 (0.98)","0.015 (0.056)","0.084 (0.0017)","0.12 (0.0047)","-0.091 (7.6e-12)","0.026 (0.72)","-0.02 (1.7e-06)","-0.00028 (0.00038)","6.7e-05 (0.057)","-0.00037 (0.98)","-0.0015 (0.046)","-0.00012 (0.31)","PF3D7_1023300","PBANKA_0507500"
"PKNH_0607900","1.3e-05 (0.0087)","1.5e-05 (0.91)","0.015 (0.13)","0.38 (5.7e-22)","-0.18 (0.0079)","-0.029 (0.15)","-0.0052 (1)","-0.093 (0.015)","-0.046 (0.04)","-6.9e-05 (1)","4.3e-05 (0.98)","0.0013 (0.018)","-2.7e-05 (0.0033)","PF3D7_1023400","PBANKA_0507600"
"PKNH_0608100","0.00023 (5.3e-17)","0.00058 (0.11)","0.021 (0.15)","0.34 (5e-13)","-0.24 (7.2e-11)","0.02 (0.0037)","0.053 (0.4)","-0.25 (1.7e-51)","0.0045 (0.48)","0.00033 (2.2e-05)","-0.00064 (0.92)","0.0013 (0.2)","-0.00012 (0.066)","PF3D7_1023600","PBANKA_0507800"
"PKNH_0609100","7e-05 (4.7e-12)","-8.6e-05 (0.15)","0.05 (0.0069)","-0.13 (5.8e-05)","-0.023 (0.38)","0.029 (8.8e-11)","0.0094 (0.73)","-0.071 (6.5e-50)","5.7e-05 (0.79)","-5.3e-06 (6.9e-13)","7.9e-06 (0.98)","3.1e-05 (0.018)","8.8e-06 (0.86)","PF3D7_1024600","PBANKA_0508800"
"PKNH_0609500","-0.0022 (0.00012)","0.1 (0.22)","-0.08 (8e-04)","-0.069 (9.6e-07)","-0.02 (2.1e-08)","0.0021 (0.0065)","-0.0094 (0.19)","0.29 (1.6e-15)","-0.43 (3.4e-08)","0.0012 (4.9e-06)","0.0036 (0.98)","0.0078 (0.24)","0.002 (0.0066)","PF3D7_1025000","PBANKA_0509200"
"PKNH_0610000","-8.9e-05 (0.005)","2.8e-05 (0.98)","0.0099 (0.089)","0.41 (8.3e-17)","-0.23 (0.00039)","-0.057 (2.2e-10)","0.049 (0.17)","-0.03 (3.9e-05)","0.017 (0.79)","0.00069 (1.6e-05)","-0.0022 (0.98)","0.0058 (0.12)","-0.0013 (0.00019)","PF3D7_1025500","PBANKA_0509700"
"PKNH_0610300","-2.8e-05 (0.022)","-4.4e-06 (1)","0.035 (0.0014)","-0.051 (0.07)","0.25 (3.2e-07)","-0.18 (7.3e-25)","0.055 (0.34)","0.16 (0.00072)","-0.067 (0.00021)","-0.0099 (0.49)","-0.0031 (0.94)","-0.076 (0.018)","0.00025 (0.22)","PF3D7_1025800","PBANKA_0510000"
"PKNH_0610500","-0.013 (0.00031)","0.12 (0.17)","0.14 (0.00025)","-0.077 (6.6e-07)","-0.021 (2.2e-05)","0.00019 (0.82)","0.00017 (1)","0.0014 (0.51)","0.051 (2e-25)","-0.028 (1e-05)","0.015 (1)","-0.16 (0.018)","0.02 (0.0024)","PF3D7_1026000","PBANKA_0510200"
"PKNH_0610600","-0.023 (0.017)","0.071 (0.47)","0.029 (0.31)","-0.033 (0.003)","0.016 (7e-07)","0.097 (1.2e-32)","0.058 (0.5)","-0.13 (2e-44)","0.11 (4.3e-16)","0.37 (3.4e-10)","0.97 (0.98)","0.14 (0.99)","-0.46 (0.00019)","PF3D7_1026100","PBANKA_0510300"
"PKNH_0611700","-0.0019 (0.39)","-0.0024 (0.56)","-7.3e-05 (0.91)","0.052 (1.2e-37)","0.15 (5.5e-26)","0.15 (1.4e-52)","0.17 (0.017)","-1 (2.2e-71)","0.0083 (0.87)","0.0079 (0.079)","-0.045 (0.98)","-0.09 (0.65)","0.0046 (0.4)","PF3D7_1027300","PBANKA_0511400"
"PKNH_0612000","-0.1 (0.00013)","0.0013 (0.0015)","0.0023 (0.51)","0.009 (4e-04)","-0.0015 (0.73)","0.002 (0.01)","0.087 (2.2e-05)","-0.12 (2e-28)","0.29 (3.5e-13)","0.76 (7.6e-11)","-1 (0.98)","1.1 (0.77)","-1.1 (0.00025)","PF3D7_1027600","PBANKA_0511700"
"PKNH_0612900","0.012 (2.9e-07)","0.028 (0.72)","0.27 (1.2e-11)","-0.2 (6.1e-24)","0.0013 (0.97)","-0.0075 (0.00096)","-5.5e-05 (1)","0.033 (0.00023)","-0.12 (0.00069)","0.022 (1.4e-11)","-0.1 (0.88)","0.013 (0.98)","-0.023 (0.00078)","PF3D7_1028500","PBANKA_0512600"
"PKNH_0615800","-0.052 (0.00018)","-0.0095 (0.48)","0.043 (0.00015)","0.21 (4.2e-10)","-0.17 (1.6e-07)","-0.022 (0.03)","-0.096 (0.0016)","-0.007 (0.17)","-0.0032 (0.9)","0.16 (0.00012)","-0.93 (0.98)","-1.3 (0.13)","-0.19 (0.0093)","PF3D7_1031100","PBANKA_0515100"
"PKNH_0616400","-0.039 (8.9e-10)","2.5e-05 (0.41)","0.2 (2e-13)","0.054 (0.31)","-0.25 (3e-13)","0.068 (9.3e-09)","-0.23 (0.0013)","-0.051 (2.5e-16)","0.16 (2.3e-19)","-0.061 (1.7e-05)","0.086 (0.94)","0.026 (0.9)","0.06 (0.00019)","PF3D7_1031700","PBANKA_0515500"
"PKNH_0617200","-0.28 (6.4e-08)","0.00022 (1)","0.059 (3.4e-06)","-0.19 (2.4e-11)","-0.011 (0.13)","0.022 (2.3e-08)","-0.0093 (0.64)","-0.027 (2.1e-08)","0.051 (0.015)","0.53 (8.1e-12)","-0.34 (1)","-0.3 (0.98)","-0.57 (0.031)","PF3D7_1032400","PBANKA_0516200"
"PKNH_0619100","3.6e-07 (0.51)","-0.00039 (1)","-0.0014 (0.73)","0.32 (8.7e-47)","0.25 (5.2e-08)","-0.2 (2.1e-15)","-0.3 (0.0079)","-0.17 (3.8e-07)","0.025 (0.066)","-0.055 (9.7e-16)","0.019 (0.94)","-0.19 (0.027)","-1.8e-05 (0.14)","PF3D7_1033900","PBANKA_0517700"
"PKNH_0620000","-0.00012 (0.00039)","-3.3e-05 (1)","0.085 (0.00017)","-0.17 (2.5e-10)","-0.022 (2.6e-06)","6.5e-05 (0.77)","-0.00067 (0.84)","-0.0014 (0.036)","0.0013 (0.7)","0.00038 (5.7e-21)","-7.3e-05 (1)","-0.24 (0.018)","-0.00019 (0.022)","PF3D7_1034800","PBANKA_0518600"
"PKNH_0621200","-0.0011 (0.51)","-0.00015 (0.038)","0.073 (5.8e-05)","-0.11 (3.9e-07)","-0.014 (0.26)","-0.0013 (0.48)","0.013 (0.16)","0.012 (0.00021)","0.34 (1.1e-22)","-0.59 (2.2e-14)","0.76 (0.92)","0.64 (0.46)","-0.025 (0.065)","PF3D7_1036700","PBANKA_0519700"
"PKNH_0621300","-0.00011 (1.1e-07)","0.00039 (0.099)","-0.0015 (0.76)","0.29 (6.8e-42)","0.051 (0.44)","-0.19 (3.8e-36)","0.015 (0.7)","-0.011 (0.0026)","-0.00029 (2.1e-08)","0.00017 (9.7e-15)","-0.00022 (0.98)","0.00023 (0.8)","5.6e-05 (0.21)","PF3D7_1036800","PBANKA_0519800"
"PKNH_0622100","-0.099 (0.23)","-0.099 (0.16)","0.0021 (0.82)","-0.022 (0.00083)","0.051 (1.6e-09)","0.044 (1.4e-06)","0.1 (0.11)","-0.37 (3.3e-43)","0.34 (1.2e-05)","-0.011 (0.14)","0 (1)","0.00017 (0.95)","0.017 (0.25)","PF3D7_1037600","PBANKA_0520500"
"PKNH_0622200","-0.00038 (0.15)","0.037 (0.1)","0.21 (4.9e-05)","-0.23 (9.4e-21)","-9e-04 (0.57)","0.00086 (0.0025)","0.002 (0.29)","-0.0031 (3.8e-16)","-0.00041 (0.49)","0.0011 (0.023)","0 (1)","-0.026 (0.018)","-0.0019 (0.28)","PF3D7_1037700","PBANKA_0520600"
"PKNH_0622300","-0.0015 (0.00043)","0.001 (0.0076)","0.0031 (0.31)","-0.0066 (0.058)","0.0026 (0.71)","0.013 (0.00011)","0.17 (0.00048)","-0.52 (6e-32)","-0.067 (5e-06)","0.00033 (4.4e-08)","5e-05 (0.98)","0.00026 (0.65)","0.00024 (0.0012)","PF3D7_1037800","PBANKA_0520700"
"PKNH_0622400","6.3e-05 (0.011)","0.51 (1.1e-05)","-0.65 (1.7e-24)","-0.014 (0.38)","0.14 (3.8e-09)","0.01 (0.48)","-0.12 (0.16)","-0.047 (4.4e-08)","-0.00062 (0.59)","7.2e-06 (0.015)","-6.2e-06 (0.98)","0.00024 (0.018)","-2.1e-05 (0.16)","PF3D7_1037900","PBANKA_0520800"
"PKNH_0622800","-0.00039 (1.9e-15)","-8.9e-05 (0.083)","0.084 (0.00021)","0.011 (0.75)","-0.14 (8e-15)","0.0016 (0.2)","0.017 (0.21)","-0.016 (2.1e-09)","-9.5e-05 (5.7e-08)","3e-04 (4.4e-17)","2e-04 (1)","8.3e-05 (0.99)","0.00014 (0.22)","PF3D7_1038300","PBANKA_0521200"
"PKNH_0513300","-0.00048 (1.8e-11)","-0.003 (0.98)","1.6e-05 (0.86)","0.029 (1.1e-07)","-0.0045 (0.76)","0.021 (0.0037)","0.43 (9.6e-05)","-0.44 (6.9e-32)","0.32 (6.6e-06)","-0.17 (7.4e-08)","-0.2 (0.98)","-0.9 (0.018)","-4e-04 (0.034)","PF3D7_0420500","PBANKA_0521900"
"PKNH_0513500","8.6e-06 (5.9e-09)","6.7e-06 (0.98)","0.00052 (0.77)","0.092 (3.1e-27)","0.21 (4.5e-14)","0.14 (3.5e-16)","-0.25 (0.017)","-0.42 (8.4e-71)","0.054 (0.0068)","-0.0042 (0.1)","0.00075 (0.92)","0.0017 (0.018)","-6.4e-05 (0.16)","PF3D7_0421700","PBANKA_0522100"
"PKNH_0515100","4.1e-05 (2.5e-06)","6e-04 (0.19)","3.5e-05 (0.97)","0.093 (3e-05)","0.051 (0.18)","-0.057 (1.1e-07)","0.0085 (0.8)","-0.012 (0.019)","-0.0022 (0.32)","5.4e-05 (1.6e-07)","3e-05 (1)","-0.022 (0.018)","-3.1e-05 (0.052)","PF3D7_0423200","PBANKA_0523600"
"PKNH_0515400","-0.00062 (0.22)","-0.00017 (0.98)","1.3e-05 (0.98)","0.034 (6e-27)","0.18 (1.1e-33)","0.094 (1.5e-28)","-0.022 (0.76)","-0.64 (4.3e-35)","0.018 (0.67)","-0.00059 (0.66)","0 (1)","0 (1)","0.002 (0.18)","PF3D7_0423500","PBANKA_0523900"
"PKNH_1301800","-0.0011 (8.8e-17)","-0.00028 (0.014)","0.055 (2.4e-05)","0.12 (0.0012)","-0.084 (0.071)","0.0046 (0.65)","0.056 (0.37)","-0.092 (2.7e-23)","-0.00037 (8.1e-19)","0.00074 (5e-21)","-3.8e-05 (1)","8e-04 (0.82)","0.00064 (0.016)","PF3D7_1201900","PBANKA_0600900"
"PKNH_1302600","0.63 (1.3e-18)","-0.12 (0.57)","-0.055 (0.27)","-0.11 (2.9e-19)","-0.00031 (1)","-0.003 (0.14)","8.4e-05 (0.79)","0.0034 (0.41)","-0.0048 (0.65)","-0.00012 (0.13)","6e-05 (1)","-1.5e-05 (1)","0.039 (0.28)","PF3D7_1202700","PBANKA_0601700"
"PKNH_1303100","7.3e-06 (0.016)","0.038 (0.48)","0.41 (1.5e-15)","-0.26 (4.3e-25)","0.016 (0.066)","0.046 (1.7e-35)","-0.014 (0.61)","-0.11 (6.4e-92)","-0.0072 (3.3e-15)","-9.4e-05 (0.59)","-0.0083 (0.88)","-0.058 (0.018)","-1.8e-05 (0.0042)","PF3D7_1203200","PBANKA_0602200"
"PKNH_1304100","-3e-04 (8e-06)","-3e-05 (0.98)","0.00035 (0.006)","0.046 (1.3e-06)","0.17 (5.4e-06)","-0.048 (2e-04)","-0.075 (0.081)","0.00048 (0.78)","0.016 (0.64)","-0.0084 (0.47)","-0.00029 (1)","0.0058 (0.68)","-0.0023 (0.0025)","PF3D7_1204400","PBANKA_0603300"
"PKNH_1304400","7.2e-06 (0.13)","1.3e-05 (0.29)","0.1 (7.7e-06)","-0.087 (0.054)","-0.11 (1.4e-05)","0.085 (4.8e-15)","-0.15 (0.0052)","-0.0065 (6.1e-05)","9.1e-05 (2.9e-10)","-2.4e-05 (7.9e-08)","2.3e-06 (1)","0.00013 (0.5)","2.8e-06 (0.88)","PF3D7_1204700","PBANKA_0603600"
"PKNH_1305300","-0.89 (4.5e-08)","-0.098 (0.4)","0.011 (0.26)","-0.023 (0.48)","-0.049 (0.038)","-0.0074 (0.15)","-0.0027 (0.6)","-0.00031 (0.82)","0.017 (0.00027)","0.093 (0.00037)","-0.082 (1)","-0.12 (0.99)","0.94 (0.00019)","PF3D7_1205600","PBANKA_0604300"
"PKNH_1305900","0.011 (2.4e-12)","0.34 (0.00067)","-0.37 (4.8e-06)","-0.13 (9.8e-11)","-3.5e-06 (1)","-0.00011 (0.14)","0.001 (0.084)","-0.0027 (1.9e-06)","-0.00057 (0.035)","3.2e-05 (0.45)","3.5e-06 (0.98)","0.00021 (0.018)","0.00043 (0.28)","PF3D7_1206200","PBANKA_0604800"
"PKNH_1307000","-0.0094 (6e-04)","-0.00091 (1)","0.00034 (0.91)","0.23 (4.9e-35)","0.26 (3.8e-09)","-0.074 (3e-04)","-0.033 (0.89)","-0.41 (3.8e-25)","-0.0036 (0.48)","0.0024 (0.38)","-0.072 (0.98)","-0.22 (0.051)","0.0095 (0.36)","PF3D7_1207000","PBANKA_0605600"
"PKNH_1307200","6e-04 (2.7e-05)","0.00069 (0.00012)","1.4e-05 (0.79)","0.035 (1.5e-21)","-0.021 (0.00052)","-0.0017 (0.00019)","0.0023 (0.33)","0.0014 (0.018)","0.33 (9.1e-15)","-0.064 (5.1e-05)","0.0023 (0.98)","-0.0023 (0.55)","1.8e-05 (0.98)","PF3D7_1207300","PBANKA_0605800"
"PKNH_1307400","-0.00016 (0.43)","3.1e-05 (0.96)","0.047 (0.042)","-0.088 (4.4e-05)","0.18 (1.3e-07)","-0.052 (0.0043)","-0.035 (0.56)","-0.15 (2.9e-13)","0.098 (8.8e-13)","-0.038 (2.1e-05)","0.0038 (0.98)","-0.0026 (0.65)","0.0032 (0.085)","PF3D7_1207500","PBANKA_0606000"
"PKNH_1307600","0.00054 (7.9e-10)","0.00035 (0.036)","0.018 (0.15)","-0.0043 (0.58)","0.0021 (0.15)","0.017 (3.3e-05)","0.29 (2.3e-05)","-0.26 (2.4e-10)","-0.08 (8.6e-05)","-0.00011 (0.56)","0.0022 (0.98)","-5e-05 (1)","0.00045 (0.18)","PF3D7_1207700","PBANKA_0606200"
"PKNH_1308900","0.00012 (1.6e-07)","0.026 (0.47)","0.3 (1.4e-16)","-0.093 (0.00019)","0.011 (0.5)","-0.042 (3.3e-41)","0.0041 (0.55)","0.0049 (0.00022)","-0.0051 (0.37)","-0.00056 (0.18)","0.00038 (0.98)","0.00033 (0.44)","-0.00016 (0.0033)","PF3D7_1209000","PBANKA_0607500"
"PKNH_1309100","-0.031 (1.3e-05)","0.023 (0.27)","0.29 (7.9e-13)","-0.45 (1.3e-27)","0.15 (6.9e-10)","0.022 (0.02)","-0.038 (0.35)","-0.066 (1.3e-49)","-0.00024 (0.8)","0.0072 (0.0011)","0.039 (0.98)","-0.028 (0.84)","0.025 (0.012)","PF3D7_1209200","PBANKA_0607600"
"PKNH_1309600","-7.1e-06 (2.1e-09)","-0.00033 (1)","0.083 (1.9e-05)","-0.12 (0.0014)","0.061 (0.015)","-0.023 (0.0023)","0.012 (0.77)","-0.029 (8.9e-05)","0.00025 (0.76)","-0.00013 (0.036)","0.00095 (0.98)","0.00077 (0.53)","-9.5e-05 (0.19)","PF3D7_1209700","PBANKA_0608100"
"PKNH_1310000","3e-04 (0.62)","-0.00092 (0.85)","0.079 (1.7e-05)","-0.24 (4.3e-08)","-0.04 (0.00077)","0.24 (4.7e-35)","-0.29 (0.019)","-0.029 (0.0069)","-0.018 (1e-07)","0.00052 (1.5e-05)","3.7e-06 (0.99)","0.0019 (0.018)","1.8e-06 (0.71)","PF3D7_1210000","PBANKA_0608400"
"PKNH_1311500","-0.014 (0.05)","0.054 (0.22)","0.097 (0.03)","-0.27 (7.8e-09)","-0.085 (0.0038)","-0.013 (0.23)","0.0043 (0.99)","-0.047 (5.6e-09)","-0.002 (0.88)","-0.0072 (0.00048)","-0.034 (0.98)","-6e-04 (1)","0.0055 (0.31)","PF3D7_1211400","PBANKA_0609900"
"PKNH_0424600","0.0014 (0.00011)","0.092 (0.0013)","0.36 (2e-09)","-0.45 (1.1e-43)","0.0038 (0.018)","0.005 (0.00066)","-0.0094 (0.0055)","-0.0016 (2.1e-06)","-0.00015 (0.76)","6.1e-05 (0.44)","-0.0018 (0.98)","-0.0032 (0.018)","6.3e-07 (0.33)","PF3D7_1437900","PBANKA_0610900"
"PKNH_0424000","1.4e-05 (1.6e-05)","-0.00049 (0.98)","-0.00033 (0.047)","0.0044 (3.1e-07)","0.033 (1.9e-17)","-0.013 (7.1e-10)","0.16 (1.2e-05)","-0.42 (2.5e-23)","-0.031 (0.015)","-0.0015 (0.03)","-2.6e-05 (0.98)","-0.015 (0.018)","5e-04 (0.3)","PF3D7_1437300","PBANKA_0611500"
"PKNH_0310100","-2.1e-06 (0.79)","1.6e-05 (0.98)","0.099 (2.1e-07)","-0.29 (7e-12)","0.01 (0.43)","0.092 (2.5e-15)","0.015 (0.89)","-0.18 (2.9e-32)","-0.007 (2.3e-11)","8.2e-08 (1)","3.3e-05 (0.79)","0.0019 (0.018)","1.7e-05 (0.18)","PF3D7_0411900","PBANKA_0613200"
"PKNH_0311200","-0.0028 (0.17)","0.00021 (0.15)","0.086 (9.4e-07)","-0.13 (0.00034)","-0.0068 (0.66)","-0.0087 (1.5e-05)","-0.0021 (0.73)","3.3e-05 (0.98)","6.5e-05 (0.17)","-1e-04 (0.024)","-4.4e-05 (1)","-0.033 (0.018)","0.0063 (0.26)","PF3D7_0716600","PBANKA_0614300"
"PKNH_0312200","0.00014 (0.5)","1.6e-05 (0.89)","0.001 (0.017)","0.21 (1.3e-48)","0.19 (4.2e-06)","-0.18 (3.1e-29)","0.011 (0.79)","-0.072 (0.00085)","0.27 (0.0054)","-0.71 (3.7e-10)","0 (1)","0 (1)","0.017 (0.21)","PF3D7_0717200","PBANKA_0614900"
"PKNH_0312300","0.00038 (6.3e-17)","-1.6e-05 (0.98)","0.0074 (0.87)","0.0013 (0.77)","0.00034 (0.99)","-0.00045 (0.52)","-0.0026 (0.1)","-0.0053 (0.36)","1.1 (4.1e-47)","-1.2 (5.3e-22)","0 (1)","0 (1)","0 (1)","PF3D7_0717300","PBANKA_0615000"
